eid,pid,is_primary,posx,posy,posz,del_posx,del_posy,del_posz,del_t,globTime,propTime,localTime,ni_edep,tot_edep,tot_E,tot_KE,momx,momy,momz,px,py,pz
0,13,0,0.0297072,-0.0874946,-10001,0.00109396,-0.000621654,2,0.00670196,1.67884,0.160438,1.67884,0,0.625756,1104.95,999.291,1.69112,-3.50539,1099.88,0.00153754,-0.00318705,0.999994
0,13,0,0.855323,-0.541969,-9851,0.0110243,-0.0129154,2,0.00670743,2.18176,0.210984,2.18176,0,0.605734,1021.89,916.236,8.36546,-8.28456,1016.35,0.00823034,-0.00815074,0.999933
0,13,0,2.30084,-2.23624,-9701,0.0259548,-0.0284569,2,0.00671419,2.68514,0.265598,2.68514,0,0.69823,949.175,843.517,17.3006,-18.2786,942.94,0.0183409,-0.0193777,0.999644
0,13,0,3.20972,-4.87696,-9551,-0.00939448,-0.023394,2,0.00671909,3.18899,0.32376,3.18899,0,0.558668,891.642,785.983,-5.39395,-10.3037,885.283,-0.00609238,-0.0116379,0.999914
0,13,0,3.64797,-8.24061,-9401,0.00430613,-0.0235232,2,0.00672611,3.6934,0.385937,3.6934,0,0.659503,832.12,726.462,2.91978,-8.91771,825.332,0.00353748,-0.0108043,0.999935
0,13,0,0.153034,-9.4121,-9251,-0.0883687,-0.0122631,2,0.00674146,4.19851,0.453101,4.19851,0,0.574871,770.759,665.101,-33.8628,-7.31268,762.696,-0.0443531,-0.00957805,0.99897
0,13,0,-14.1011,-8.11139,-9101,-0.273908,0.0330167,2,0.00681577,4.70722,0.528077,4.70722,0,0.696626,685.353,579.695,-91.7175,13.7893,670.778,-0.135444,0.0203635,0.990576
0,13,0,-35.0775,3.07298,-8951,-0.103515,0.0786623,0.709435,0.00244203,5.21686,0.612015,5.21686,0,0.214525,615.068,509.41,-86.8969,66.9954,595.908,-0.143412,0.110567,0.983467
0,13,0,-35.181,3.15164,-8950.29,-0.188194,0.145093,1.29056,0.00444328,5.2213,0.612778,5.2213,0,0.403306,614.665,509.007,-88.1941,67.4715,595.247,-0.145651,0.111428,0.983041
0,13,0,-59.8585,19.0819,-8801,-0.373778,0.224801,2,0.00695607,5.74012,0.707412,5.74012,0,0.840479,552.509,446.851,-97.6836,59.3198,530.133,-0.180124,0.109383,0.977543
